MOVIE_EARNINGS_RANK;MOVIE_GENRE;MOVIE_NAME;MOVIE_RATING;MOVIE_RUNTIME;MOVIE_YEAR;PERSON_DOB;PERSON_NAME;PERSON_POB;MID;REV
;ACT;Rush Hour 3;PG-13;91;2007;1965-01-04;Yvan Attal;Tel Aviv, Israel;d9e6a7ae2363d6cfe81af75a3940abf5;1-51dd93609125311bd5d20864cb0ec1b7
;DR;Accidental Tourist, The;PG;121;1988;1950-03-20;William Hurt;Washington, District of Columbia, USA;d9e6a7ae2363d6cfe81af75a393ff8c0;1-72b55227dfac4e059c8d708fbeeff722
;ANCFS;Chicken Little;G;81;2005;1975-04-06;Zach Braff;South Orange, New Jersey, USA;d9e6a7ae2363d6cfe81af75a3940c297;1-971ceae1b69c29670059cdb55d78fab8
;D;Children of a Lesser God;R;119;1986;1950-03-20;William Hurt;Washington, District of Columbia, USA;d9e6a7ae2363d6cfe81af75a394002a5;1-3e1e55412ae24863a464458b371eed65
;C;Mighty Aphrodite;R;98;1995;1949-12-05;Pamela Blair;Bennington, Vermont, USA;d9e6a7ae2363d6cfe81af75a3926f1cd;1-b3a1e0fa8740c90157b85d30951e0646
;CD;Ed Wood;R;127;1994;1968-04-08;Patricia Arquette;Chicago, Illinois, USA;d9e6a7ae2363d6cfe81af75a39273204;1-5394d5eb9558447f03f710e8bc1bb1af
;AYST;X-Men;PG-13;104;2000;1940-07-13;Patrick Stewart;Mirfield, Yorkshire, England, UK;d9e6a7ae2363d6cfe81af75a39279ae2;1-2c67591cce9832dd1c946bb2b47a6b7e
;D;Girl, Interrupted;R;127;1999;1971-10-29;Winona Ryder;Winona, Minnesota, USA;d9e6a7ae2363d6cfe81af75a3940704a;1-0b741fb503eb0f9cd8ee7df65c260bcf
;CD;Little Miss Sunshine;R;101;2006;1984-06-19;Paul Dano;Wilton, Connecticut, USA;d9e6a7ae2363d6cfe81af75a3927ef9d;1-ae5c6e49a4607e2da9112a80b1187b81
;CDR;Knocked Up;R;129;2007;1969-04-06;Paul Rudd;Passaic, New Jersey, USA;d9e6a7ae2363d6cfe81af75a3928b0d8;1-0db1f6f093be547ca61d32bc18f0c69b
;DR;Vicky Cristina Barcelona;PG-13;96;2008;1974-04-28;Penelope Cruz;Madrid, Spain;d9e6a7ae2363d6cfe81af75a392928b3;1-97280f92981b9f0f7811c60411cbc760
;CF;Doctor Dolittle;PG-13;85;1998;1935-10-18;Peter Boyle;Philadelphia, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a39295be0;1-5b3dd262578d51514b6325a1792c1e88
;CD;Network;R;120;1976;1916-09-28;Peter Finch;London, England, UK;d9e6a7ae2363d6cfe81af75a39297e97;1-39e25574bce13842210d3183eff1c32b
;VDW;Lawrence of Arabia;PG;216;1962;1932-08-02;Peter O'Toole;Connemara, County Galway, Ireland;d9e6a7ae2363d6cfe81af75a39299c62;1-653e6791f3077c073f869348bc5a2655
;D;The Lion in Winter;PG;134;1968;1932-08-02;Peter O'Toole;Connemara, County Galway, Ireland;d9e6a7ae2363d6cfe81af75a3929aadd;1-793eb6f98cb059182283c94fd87e3d84
;D;Children of a Lesser God;R;119;1986;1930-09-26;Philip Bosco;Jersey City, New Jersey, USA;d9e6a7ae2363d6cfe81af75a392a0dfa;1-9d2e01a16fdcefbd404c3700d37f11d4
